OrderID,Order Date,Customer Name,Country,Region,State,City,Postal Code,Segment,Ship Date,Ship Mode
BN-2013-9375572,10-06-2013,Melody Nelson,United States,West,Wyoming,Rock Springs,82901,Corporate,14-06-2013,Economy
BN-2013-2545155,13-03-2013,Paige Bibi,United States,West,Wyoming,Rock Springs,82901,Home Office,13-03-2013,Immediate
BN-2014-1317809,07-02-2014,Annabelle Heydon,United States,South,Mississippi,Greenville,38701,Home Office,14-02-2014,Economy
BN-2012-1349610,31-05-2012,David To,United States,South,Mississippi,Greenville,38701,Home Office,02-06-2012,Economy Plus
BN-2014-9861831,30-07-2014,Leroy Samson,United States,West,California,Calexico,92231,Home Office,04-08-2014,Economy Plus
AZ-2012-5131347,05-04-2012,Ben Hogben,United States,South,Mississippi,Gulfport,39503,Corporate,05-04-2012,Immediate
BN-2012-5238794,15-03-2012,Bettie Lang,United States,South,Florida,Hollywood,33021,Consumer,19-03-2012,Economy
BN-2013-7382571,20-12-2013,Gregory Rodriguez,United States,East,Maine,Bangor,4401,Corporate,24-12-2013,Economy
BN-2013-8558415,11-11-2013,Piper Wilder-Neligan,United States,Central,Texas,Pharr,78577,Consumer,16-11-2013,Economy Plus
AZ-2013-9221465,08-07-2013,Audrey Knowles,United States,South,South Carolina,Spartanburg,29301,Consumer,10-07-2013,Economy Plus
BN-2012-2772925,26-12-2012,Jonathan Bottrill,United States,Central,Texas,Dallas,75220,Consumer,30-12-2012,Economy
AZ-2014-7090421,14-07-2014,Hayley Baldwinson,United States,South,Mississippi,Columbus,39701,Consumer,18-07-2014,Economy Plus
BN-2011-2010578,30-11-2011,Charles Carey,United States,West,Washington,Redmond,98052,Consumer,01-12-2011,Priority
AZ-2014-4923095,14-06-2014,Elliot Owen,United States,East,Ohio,Medina,44256,Consumer,17-06-2014,Economy Plus
AZ-2012-3293299,10-11-2012,Bonnie Wilson,United States,West,California,Oxnard,93030,Corporate,13-11-2012,Priority
BN-2011-3248724,08-01-2011,Archer Hort,United States,South,Alabama,Phenix City,36869,Consumer,14-01-2011,Economy
BN-2012-2935339,14-03-2012,Donna Farr,United States,South,Alabama,Northport,35473,Consumer,17-03-2012,Priority
BN-2013-5031652,06-02-2013,Hayley Swanston,United States,East,New York,New York City,10009,Home Office,09-02-2013,Economy Plus
BN-2014-2311123,19-06-2014,Freya Briggs,United States,West,Colorado,Fort Collins,80525,Corporate,25-06-2014,Economy
AZ-2011-2270958,21-02-2011,Eva Hargraves,United States,South,North Carolina,Charlotte,28206,Consumer,26-02-2011,Economy
BN-2014-6565146,03-11-2014,Andres Woodruff,United States,West,California,Manteca,95336,Home Office,09-11-2014,Economy
AZ-2013-9510969,29-06-2013,Charlotte Savage,United States,East,New York,Hempstead,11550,Consumer,03-07-2013,Economy
BN-2013-3010775,20-09-2013,Robert Barnes,United States,East,Ohio,Steubenville,43952,Consumer,23-09-2013,Priority
